scheme_id,scheme_name,education_level,education_stream,level,state,department,category,gender,caste_category,min_age,max_age,max_income,min_marks,description,benefits,eligibility_criteria,income_missing
SCH0221,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,Diploma,Engineering & Technology,Central,All India,All,"Education & Learning, Transport & Infrastructure",All,All,5,99,250000.0,80,"Introduction a. The scheme (operated hitherto as Special Scheme for NER) provides financial assistance to institutions located in the North East Region for solving water problems in the campus, providing alternative power support and high-speed internet connectivity. This will significantly address the infrastructural problems confronted by students on day to day basis. The Scheme is being implemented through the Indian Institute of Technology– Guwahati. b. North East India largely has hilly...","The selected institutes will have to complete the sanctioned project as per the following guidelines: Project Name: Solving Water Problems Project Limit of Funding: ₹ 15,00,000 Duration of Project: 2 years from the date of receipt of the first installment. Project Name: Power/ Solar Energy Project Limit of Funding: ₹ 20,00,000 Duration of Project: 6 months from the date of receipt of the fund for the purpose. Project Name: Internet Connection Project Limit of Funding: ₹ 5,00,000 Duration of Project: 6 months from the date of receipt of the fund for the purpose. Disbursement of the Funds The first installment is an advance of 80% of the sanctioned grant. The second installment is reimbursement on successful completion of the project and submission of requisite documents by the institute. Note: If the project is not initiated within six months, the institute shall have to refund the complete grant with accrued interest to AICTE with justification.","Course: Engineering/Technology, All/General; Minimum marks mentioned: 80.0%",1
SCH0223,"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",Diploma,Engineering & Technology,Central,All India,All,Education & Learning,All,All,5,99,250000.0,0,"The scheme ""AICTE - Scheme for Promoting Interests, Creativity and Ethics among Students (SPICES)"" is a scheme for the institutions by the All India Council for Technical Education (AICTE), Department of Higher Education (DoHE). This scheme provides financial support to institutions for developing students' clubs for the well-rounded development of students by promoting their interests, creativity, and ethics. This club should serve as a model for other clubs in the institution and also...","Duration: One-Year Limit of Funding: ₹ 1,00,000 only (one-time grant to one institute) Disbursement of the Funds: ₹ 1,00,000 as advance Programs/ Activities targeted in the Clubs: Evolution of Interests/Hobbies, Creativity/ Imagination/ Innovation, and Ethics/ Value through a range of student activities.","Education level: UG; Course: Engineering/Technology, All/General",1
SCH0224,"AICTE - YOUTH UNDERTAKING VISIT FOR ACQUIRING KNOWLEDGE (YUVAK): STUDY TOUR OF ATAL TUNNEL, HIMACHAL PRADESH",School,All,Central,All India,All,Education & Learning,All,ST,5,99,250000.0,0,"AICTE has launched a new scheme namely ,AICTE YOUTH UNDERTAKING VISIT FOR ACQUTRING KNOWLEDGE (YUVAK) STUDY TOUR OF ATAL TUNNEL, HIMACHAL PRADESH, on 21 st May 2021 to provide financial grants to the team of one faculty and 10 students from AICTE approved institutions for the study tour of ATAL TUNNEL. Objectives: To gain firsthand knowledge & information about the latest techniques used in construction of the tunnel and in particular about the New Austrian tunneling method. Gain insight...","Grant will be for Team of 10 Students + 1 Faculty member of the Institute as per details below: S.No. Expenditure Heads For Institutes under NRO & NWRO For Institutes under Other Regions 1. Train Fare from Institute to Chandigarh & back ₹ 30,000/- ₹ 60,000/- 2. Transport charges from Chandigarh to Manali (including visits to ATAL Tunnel) & back ₹ 30,000/- ₹ 30,000/- 3. Boarding & Lodging and incidental expenses at Manali for 03 days ₹ 1,10,000/- ₹ 1,10,000/- Total Grant Amount : ₹ 1,70,000/- ₹ 2,00,000/-",Institution: Government/Approved Institution,1
SCH0226,AICTE – Mitacs Globalink Research Internship (GRI) Scheme,Diploma,Engineering & Technology,Central,All India,All,Education & Learning,All,All,5,99,250000.0,0,"AICTE, on 23rd February 2018, entered into a Memorandum of Understanding with Mathematics of Information Technology and Computer Systems (MITACS) Canada for AICTE – MITACS Globalink Research Internships (GRI) Program to foster cross-border partnerships focused on creating a platform that opens the path for collaborative research between Canada and India to a wider pool of student talent in India. The AICTE-MITACS GRI Program is open to Science, Technology, Engineering, and Mathematics (STEM)...","The total cost of the program is $12,000 CAD per student. MITACS will contribute $9,000 CAD per student. AICTE will contribute $3,000 CAD per student. The full cost per student includes airfare, visa, medical, stipend, accommodation, Globalink Student Mentors, programming, and research costs. It will also include access to Globalink branded activities in Canada, which may include professional skills workshops, receptions, and industrial engagement activities.","Education level: UG; Course: Engineering/Technology, Medical/Health, Science, Research",1
SCH0227,AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),School,Engineering & Technology,Central,All India,Ministry of Education,Education & Learning,All,All,5,99,250000.0,0,"Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young student, who is otherwise specially abled, the opportunity to study further and prepare for a successful future through technical education/ knowledge. ₹50,000/- per annum for every year of study i.e. maximum 4 years for the first year admitted students and maximum 3...","₹50,000/- per annum for every year of study i.e. maximum 4 years for the first year admitted students and maximum 3 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. After selection, the awardee will be paid a scholarship through DBT mode on annual basis. The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with letter from the Head of the Institution on the online portal","Education level: UG; Course: Engineering/Technology, All/General",1
SCH0228,AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),Diploma,Engineering & Technology,Central,All India,Ministry of Education,"Education & Learning, Social welfare & Empowerment",All,All,5,99,250000.0,0,"Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young student, who is otherwise specially abled, the opportunity to study further and prepare for a successful future through technical education/ knowledge. ₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2...","₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. After selection, the awardee will be paid a scholarship through DBT mode on annual basis. The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with a letter from the Head of the Institution on the online portal","Education level: UG; Course: Engineering/Technology, All/General",1
SCH0230,AICTE- Technical University Joint Training Programs for Librarians,All,Engineering & Technology,Central,All India,All,Education & Learning,All,All,5,99,250000.0,20,"AICTE- Technical University Joint Training Programs for Librarians, launched by the All India Council for Technical Education, aims to provide financial assistance in conducting training for Librarians to prepare them for being successful and effective in a knowledge society. Objectives: The objectives of the program are; To provide a dynamic and quality user centered library and information services that enhance teaching, learning and research while inculcating life-long learning skills and...","The maximum total expenditure for conduct of one training program will be ₹ 3,00,000/- (or the actual amount expended) to be shared 50:50 by AICTE and Technical university. AICTE: Will release a grant of ₹ 1,50,000/- to Technical university for the training program to meet the expenditure or the actual expenditure, whichever is less on (i) TA/DA/ Honorarium to Resource Persons (Honorarium not to exceed 20% of the total expenditure incurred on conduct of one such training program), (ii) TA to outstation participants and (iii) Course material to participants. Technical university: Will meet from its own funds, the expenditure to the extent of ₹ 1,50,000/- or the actual expenditure, whichever is less, to cover all items of expenditure such as (i) Boarding & lodging of participants, (ii) Honorarium to Program Coordinator (not to exceed 1% of the total expenditure incurred on one such training program) and (iii) Working expenses (tea/coffee/stationary/certificate/printing etc.).","Course: Engineering/Technology, Research, All/General; Minimum marks mentioned: 20.0%",1
SCH0231,"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME",Diploma,Engineering & Technology,Central,All India,All,Education & Learning,All,All,5,99,250000.0,50,"AICTE has decided to establish IDEA (Idea Development, Evaluation & Application) Lab in AICTE approved institutions, encouraging students for application of science, technology engineering and mathematics (STEM) fundamentals towards enhanced hands-on experience, learning by doing and even product visualization. As a common facility embedded in the institution, the IDEA Lab will make engineering graduates more imaginative and creative, besides getting basic training in the 21st century skills...","Financial Assistance: Estimated project cost per AICTE Lab is ₹ 1,10,00,000/- non-recurring expenditures (covering the cost of equipment, tools and consumables) of₹ 80,00,000/- and recurring expenditures (covering the cost of events and activities for two years) of ₹ 30,000,00/-. AICTE can provide up to 50% i.e. ₹ 55,00,000/-. Training to Faculties and Students: Various types of training will be provided to the faculties and the students on creative thinking, problem solving, collaboration, etc. Activities to be conducted by an IDEA Lab: The following table lists activities/ events and their number/ frequency in AICTE IDEA Lab and there has to be commitment to conduct minimum numbers, to be eligible for sanctioning of the project. Sr. No. Event & Duration Target & Batch size Objective & Justification Frequency/Numbers 1. FDP (06 Days) Faculty (20) Faculty needs to be trained on equipment, to be able to guide students and conduct events- including those from other institutions Twice in a year 2. Skilling Programs (06 Days) Students (20-30) Training in areas like electrical and electronics fabrication, embedded systems design. Embedded programming, 3D printing, robotics, welding, IOT, Machine learning, Al, bio-engineering, biomedical, etc One per quarter 3. Bootcamps (12 Days) Faculty (05-10) Training of faculty (including those from other institutions, spread over a few weeks, continuing at workplaces, if required Twice a year Twice a year 4. ldeation workshops (03-05 Days) Students (30-40) To generate ideas on which students can work in the IDEA Lab, including field visits Once in three months 5. Awareness Workshops for Industry (02 Days) Industry participants (5-10) Publicizing IDEA Lab among industries, to encourage them to use the facilities Once in three months 6. Internships (2 to 6 months) Students(15-20) For hands-on training as part of their course-work during summer and winter vacations. Internships based on industry problems should be preferred. As per curriculum. 7. Professional Skilling Programs (12 Days) ITI students or class 10/12 pass students (5-10) Welding, 3D printing, mechanical fabrication. etc Once in a quarter 8. School Teachers Awareness Program (06 Days) Teachers of nearby schools Demonstration and providing hands-on experience of facilities Twice a year (during school vacations) 9. Projects by School Students identified by schools (10-15) Opportunity for school students to do projects Once a year (as per convenience) 10. Open Day for school students (one day) Students (class XI-XIl) nominated by schools (25-30) Exposure to facilities in IDEA Lab to ignite their minds (on Science Day/Technology Day/Teachers Day/ Engineers Day) Once a year (as per convenience) 11. Participation in annual technical exhibitions Nationwide IDEA labs Technical exhibitions etc For example, Tech FEST, Mind SPARK, etc. organized by renowned Institutions/ Industries, etc to showcase activities/products/prototypes developed in IDEA labs Once in a year 12. Newsletter Nationwide IDEA labs To disseminate information to all the labs about activities of other labs, technology issues, any interesting developments, etc. Monthly/Bi-monthly 13. Webpage All stakeholders For web-presence of IDEA Lab, and showcasing itself before the stakeholders and other IDEA Labs Weekly/Bi-weekly updation 14. Annual conference/ symposium of all IDEA labs All IDEA Labs, DIY labs or similar labs across the nation/outside the nation also To promote active interaction, showcase of lab activities, promote collaboration at national and international level labs Once in a year","Education level: UG; Course: Engineering/Technology, Medical/Health, Science, Vocational/ITI, All/General; Institution: Government/Approved Institution; Minimum marks mentioned: 50.0%",1
SCH0233,AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,Postgraduate,Engineering & Technology,Central,All India,All,"Education & Learning, Travel & Tourism",All,SC,5,99,250000.0,100,"A Travel Grant Scheme by the All India Council for Technical Education (AICTE) and by the Indian National Academy of Engineering (INAE), for the students from AICTE approved Engineering College/institutions. The scheme aims at enhancing the quality of engineering education in the country and to inculcate a culture of research amongst the students. The scheme aims to provide partial travel assistance and registration fees to Bachelors's and Masters's Level engineering students for presenting...","Financial Support The reimbursement of 100% Registration Fee, Visa Fee including travel insurance up to ₹5000. The reimbursement of 50% of the actual Airfare or discounted /concessional air tickets along with local transport from the airport to the venue for presentation, in case not claimed from any other source. Actual fare not exceeding AC II-Class train fare will be admissible for travel from the Technical Institution to the nearest airport and back in India). The maximum financial support per student for all the above reimbursements is limited to ₹1,00,000.","Education level: PG; Course: Engineering/Technology, Research, All/General; Institution: Government/Approved Institution; Minimum marks mentioned: 100.0%",1
SCH0239,AICTE-QUALITY IMPROVEMENT (FOREIGN UNIVERSITY) PROGRAMME,PhD,Engineering & Technology,Central,All India,All,Education & Learning,All,All,5,99,250000.0,0,"The All India Council for Technical Education in its 55th Meeting of the Council held on 14th August 2018 approved the Quality Improvement Programme (Foreign University) (QIP-FU). The QIP(FU) is an extension of the QIP program launched by the Government of India in the year 1970. Under QIP (FU), the AICTE shall provide scholarships to the faculty who fulfils eligibility criteria and obtains admission in the Doctoral Degree programme leading to award of PhD degree in any of the enlisted top...","Scholarship of ₹ 25,000/- per month.","Education level: PhD; Course: Engineering/Technology, Research, All/General",1
SCH0240,"AICTE-SHORT TERM TRAINING PROGRAMME (STTP) (UT-J&K,LADAKH AND NER)",School,Engineering & Technology,Central,All India,All,Education & Learning,All,All,5,99,250000.0,0,Short Term Training Program (STTP) in North-Eastern Region (NER) and UTs of J&K and Ladakh intends to conduct faculty trainings through financial assistance from AICTE to enable faculty members in the field of technical education introspect learn techniques that can help prepare students for active and successful participants in a knowledge society. Duration of Programme: It is a residential programme of six days. The approved STTP shall be conducted within six months from the date of...,"Funding to Institutions: ₹5,00,000/- to the host University/Institution for conducting the training for the academic year. Disbursement of the Funds: The full amount of the grant sanctioned shall be released as advance to the University/Institution. The amount spent by the institute on the conduct of STTP shall be adjusted on the basis of utilization certificate and detailed expenditure statement submitted by the University/Institution on the prescribed format along with other mandatory documents viz feedback form, copy of proceedings and completion report etc. The above said amount of grant shall be released on the basis of the Extension of Approval (EOA) issued by AICTE to the institute for the academic year. Training to Teachers/Staffs: Faculty training in the field of technical education with following type: Pedagogical Training. Subject related Training to teachers employed in disciplines: Engineering & Technology, Management, Pharmacy, Architecture etc. Training related to Moral Values, Ethics, Behavioural Sciences & Attitude etc. Training for teachers regarding orientation of newly admitted students. Training for supporting technical and administrative staff including Librarian.","Education level: UG; Course: Engineering/Technology, Medical/Health, Management/Commerce, All/General",1
SCH0241,AICTE-Swanath Scholarship Scheme For Students,Diploma,Engineering & Technology,Central,All India,All,Education & Learning,All,All,5,99,250000.0,0,"A scholarship scheme by the Student Development Cell (StDC) of All India Council for Technical Education (AICTE) to provide encouragement and support to orphans, wards of parents who died due to Covid-19, wards of Armed Forces, and Central Paramilitary Forces martyred in action (Shaheed) to pursue education. This is an attempt to give every such child, an opportunity to study further and prepare for a successful future through education in AICTE Approved institutions and courses. The family...","NUMBER OF SCHOLARSHIPS A maximum of 2000 scholarships (1000 for Degree Students and 1000 for Diploma Students) will be awarded every year to eligible candidates as above. AMOUNT OF SCHOLARSHIP Rs. 50,000.00 per annum for every year of study i.e. maximum 4 years duration for the first year admitted Degree students and maximum 3 years for Diploma Students as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. No other additional grant will be payable in lieu of hostel charges, medical charges, etc. In case the student is currently studying in the 2nd /3rd/4th year at degree level the duration of the scholarship will be reduced to 3/2/1 year respectively. Similarly, for students currently studying in the 2nd /3rd year at diploma level, the duration of the scholarship will be reduced to 2/1 year respectively.","Education level: UG; Course: Engineering/Technology, Medical/Health, All/General; Institution: Government/Approved Institution",1
SCH0252,Aapki Beti Yojana,School,Education,State,Rajasthan,All,"Education & Learning, Women and Child",Female,ST,5,99,250000.0,0,"The ""Aapki Beti Yojana"" scheme was launched by the School Education Department, Government of Rajasthan, to support girls in continuing their education in government schools from Class 1 to 12. Under the scheme, financial assistance of ₹2,100/- per year is provided to girls studying in Class 1 to 8 in government schools who belong to families living below the poverty line (BPL) and whose one or both parents have passed away. For girls studying in Class 9 to 12, the assistance is ₹2,500/- per...","Financial Assistance: ₹2,100/- per annum for girl students in classes 1 st to 8 th . ₹2,500/- per annum for girl students in classes 9 th to 12 th . Mode of Disbursement: Direct Benefit Transfer (DBT) to the bank account linked with Jan Aadhaar of the family head or the girl child.",Education level: 1st-8th; Institution: Government/Approved Institution,1
SCH0279,Aaws Bhatta Sahayata Yojana,Diploma,Engineering & Technology,State,Madhya Pradesh,All,Education & Learning,All,SC/ST,5,99,250000.0,0,"The Awas Bhatta Sahayata Yojana is a scheme under the Higher Education Department of the Government of Madhya Pradesh to provide assistance to economically disadvantaged students belonging to Scheduled Castes and Scheduled Tribes. It aims to support students who have to rent accommodation near their college due to the distance from their homes. Under this scheme, financial aid is provided to help cover rental expenses, thereby easing the burden on students pursuing higher education and...","In Bhopal, Indore, Jabalpur, Gwalior, and Ujjain cities ₹2,000/- per student per month. At district headquarters ₹1,250/- per student per month. At the tehsil and development block level ₹1,000/- per student per month.",Education level: UG,1
SCH0282,Abhinandan Education Loan Subsidy Scheme,School,Education,State,Assam,All,"Education & Learning, Skills & Employment",All,All,5,99,250000.0,25,"The objective of this scheme is to provide a loan subsidy of up to Rs 50,000 on education loans to students pursuing higher education from good institutions. The Abhinandan Education Loan Subsidy Scheme has been started with the Housing Scheme. Under this scheme, the Government of Assam will provide a one-time subsidy on loans to all students pursuing higher education on education loans. Under the Abhinandan Scheme all major banks, all commercial banks such as Federal Bank and HDFC are...","Benefits A subsidy of Rs 50,000 will be provided to students by the Government of Assam on education loans up to Rs 1 lakh. In this scheme, all the applicant students can apply for the subsidy by paying 25% of their loans. Under this scheme, the subsidy can be obtained only on loans taken from commercial banks like Federal Bank and HDFC and regional rural banks like Assam Rural Regional Bank. In this scheme, all students have to get financial help by encouraging students on education loans.",Education level: UG; Minimum marks mentioned: 25.0%,1
SCH0284,Academic Education (JKBOCWWB),Postgraduate,Education,State,Jammu and Kashmir,All,Education & Learning,All,All,18,60,250000.0,0,"The ""Academic Education"" scheme by the Building and Other Construction Workers Welfare Board, Labour Department, Jammu & Kashmir, provides financial assistance to the children of the registered workers. Under this scheme, regular students in Class 9th to 10th receive ₹4,500/-, Class 11th to 12th receive ₹6,000/-, undergraduate students receive ₹10,000/-, and postgraduate students receive ₹15,000/-.","Financial Assistance based on the Educational Qualification - Class 9th to 10th: ₹4,500/-. Class 11th to 12th: ₹ 6,000/-. Undergraduate: ₹10,000/-. Postgraduate: ₹15,000/-.",Education level: PG,1
SCH0285,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,Diploma,Engineering & Technology,Central,All India,All,Education & Learning,Female,All,5,99,250000.0,15,"Access to Knowledge for Technology Development and Dissemination (A2K+) is a scheme targeted towards developing mechanisms to disseminate science, technology and innovation-related information to industries, research and academic institutions, In-house R&D units of industry, Scientific & Industrial Research Organizations (SIROs), consultants, industry associations, techno-entrepreneurs, government departments and others. Supported Programmes 1: Supporting industrial technology-related...","The support shall be towards the following items of expenditure: Manpower. Travel for networking, survey, stakeholder meetings, experts, resource persons, etc; (International travel is not permissible under a project). Consultation fees for experts and resource persons. Contingencies and consumables (Consumables may include research equipment essential for the study and approved by TAC) Overhead charges are fixed at 15%. Any other item upon recommendation by the TAC and approval of the competent authority. Note 1: DSIR support towards manpower expenses shall remain fixed respective of changes in fellowship rates if any. Note 2: No support is granted for setting up general-purpose infrastructural facilities.","Course: Engineering/Technology, Science, Research; Minimum marks mentioned: 15.0%",1
SCH0295,Additional Financial Assistance for the Children of Persons Engaged in the Cleaning Profession,Diploma,Engineering & Technology,State,Rajasthan,All,Education & Learning,All,SC/ST/OBC,5,99,250000.0,0,"The ""Additional Financial Assistance for the Children of Persons Engaged in the Cleaning Profession"" scheme was launched by the Social Justice and Empowerment Department, Government of Rajasthan. The scheme provides an additional financial assistance of ₹500/- per month to children of individuals working in the cleaning or sanitation profession. This assistance is given to students already receiving a scholarship under the Post-Matric Scholarship Scheme, ensuring their continued education.",Financial Assistance: This scheme provides ₹500/- per month as additional financial assistance to children of individuals working in the cleaning/sanitation profession. Note: Assistance will be provided for a maximum of 10 months per year.,Education level: Post-Matric,1
SCH0300,Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,Diploma,Engineering & Technology,State,Tamil Nadu,All,"Education & Learning, Housing & Shelter",All,All,5,99,250000.0,0,"The scheme “Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides” by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to offer hostel accommodations to students belonging to the Adi Dravidar and Tribal communities. The initiative supports their education by ensuring a safe and structured environment for studying, addressing the housing needs of students from underprivileged backgrounds. The facilities are available for students up to the XII Standard.",Accommodation: Hostel facility for all Boys/ Girls Boarders studying upto XII Standard.,See official scheme description/eligibility details.,1
